ID в ИС ГТИБД,Название,Название (англ.),Адрес,Телефоны,Сайт,Электронная почта,Кухня,Доступно для людей с ограниченными возможностями,Геопозиция
14819,Царь-Пышка,King-Pyshka,"190031, Санкт-Петербург, Московский пр., д. 7",+7‒981‒702‒54‒83,www.king-pyshka.ru,info@king-pyshka.ru,,нет,"59.924718,30.317117"
14824,Пышландия,Pyshechnaya,"м. Технологический институт, ул. Бронницкая д.16
м. Площадь Ленина, ул. Боткинская, 2в",+7(812) 910-20-99,,,,нет,"59.915138,30.322174"
14826,Пышкин Двор,Pyshkin Dvor,"м. Гостиный Двор, Невский пр., 35 /Садовая, 17 , 1 этаж, универмаг «Большой Гостиный Двор» (вдоль ул. Садовая)",,,,,нет,"59.93232,30.33025"
14827,Пышечная «Адамс»,Pyshechnaya Adams,"192281, Санкт-Петербург, Балканская площадь, 5/3 (ТРЦ ""Балканский"")",,,,,нет,"59.831892,30.375965"
14828,Пышки,Pyshki,"199004, Санкт-Петербург, 9-я линия В. O., д. 18",+7 (812) 323‒66‒37,http://pyshechnaya.ru/,mar-it@yandex.ru,,нет,"59.939338,30.279136"
14834,Пышечная-пирожковая,Pyshechnaya-Pirogkovaya,"191025, Санкт-Петербург, пер.Кузнечный, 8",,,,,нет,"59.927567,30.350777"
14919,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Люботинский проспект, 5",+7(812) 642–37–54,www.obed-online.ru,,,нет,"59.883295,30.339889"
14920,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Чернышевского проспект, 1",+7 (812) 642–37–54,www.obed-online.ru,,,нет,"59.948757,30.359032"
14921,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Менделеевская, 9",+7 (812) 642–37–54,www.obed-online.ru,,,нет,"59.976319,30.366102"
14922,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Магнитогорская, 51 лит Ж",+7 (812) 642–37–54,www.obed-online.ru,,,нет,"59.939622,30.430592"
14923,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Белоостровская, 17 к2",+7(812) 642–37–54,www.obed-online.ru,,,нет,"59.986821,30.321258"
14924,Дикенс Паб,Dickens Pub,"м. Технологический институт, 190013, Санкт-Петербург, наб. р. Фонтанки, 108",+7 (812) 702-62-63,www.dickensrest.ru,dickens.pub@mail.ru,,нет,"59.921416,30.318922"
14925,Пиворама,Pivorama,"м. Комендантская площадь, 197372, Санкт-Петербург,  Комендантская пл. 1, ТЦ «Атмосфера», 5 этаж",+7 (812) 965-92-22,www.pivorama.ru,,,нет,"60.007668,30.259822"
14926,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Латышских Стрелков, 31 лит А",+7(812) 642–37–54,www.obed-online.ru,,,нет,"59.932924,30.44686"
14927,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Петровская коса, 1 к1",+7 (812) 642–37–54,www.obed-online.ru,,,нет,"59.96289,30.25083"
14928,Пиворама,Pivorama,"м. Автово, 198302, Санкт-Петербург,  Пр. Стачек 99, ТРК «Континент», 3 этаж",+7 (812) 955-43-93,www.pivorama.ru,,,нет,"59.858787,30.248342"
14929,Пиворама,Pivorama,"м. Ул. Дыбенко, 193168,Санкт-Петербург,  Пр. Большевиков 18, ТРК «Невский-2», 3 этаж",+7 (812) 907-61-91,www.pivorama.ru,,,нет,"59.908507,30.482479"
14930,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Возрождения, 20 лит А",+7 (812) 642–37–54,www.obed-online.ru,,,нет,"59.881638,30.273917"
14931,Пиворама,Pivorama,"м. Сенная, 190031,Санкт-Петербург, Ефимова 2, ТРК «ПИК», 4 этаж",+7 (812) 939-43-10,www.pivorama.ru,,,нет,"59.926499,30.320845"
14932,Пиворама,Pivorama,"м. Пр. Просвещения, 194358, Санкт-Петербург,  пр. Просвещения 19, ТК «Норд», 3 этаж",+7 (812)954-28-84,www.pivorama.ru,,,нет,"60.052703,30.331193"
14933,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Революции шоссе, 83Б",+7 (812) 642–37–54,www.obed-online.ru,,,нет,"59.965449,30.47787"
14934,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Мельничная, 4",+7 (812) 642–37–54,www.obed-online.ru,,,нет,"59.917078,30.396124"
14935,Пиворама,Pivorama,"м. Международная, 192238, Санкт-Петербург,  ул. Белы Куна 3, ТРК «Международный», 4 этаж",+7 (812) 940-53-46,www.pivorama.ru,,,нет,"59.870014,30.379325"
14936,Пиворама,Pivorama,"м. Звездная, 196158, Санкт-Петербург, ул. Звездная д.1, ТРК «Континент», 3 этаж",+7 (812) 938-13-34,www.pivorama.ru,,,нет,"59.831679,30.345387"
14937,Пиворама,Pivorama,"196655, Ленинградская обл.,  Колпино, Октябрьская ул. 8, ТРК «Ока», 2 этаж",+7 (812) 905-88-34,www.pivorama.ru,,,нет,"59.738956,30.622948"
14938,Пиворама,Pivorama,"м. Маяковская / Гостиный двор,  191014, Санкт-Петербург,  ул. Белинского 8,",+7 (812) 954-84-34,www.pivorama.ru,,,нет,"59.938432,30.347318"
14939,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Московский проспект, 143",+7(812) 642–37–54,www.obed-online.ru,,,нет,"59.878261,30.318976"
14940,SПБ - Самый Правильный Бар,SPB - Bar,"м. Пр. Просвещения, 194356, Санкт-Петербург,  пр. Энгельса, 133",+7 (812) 655-67-16,www.barspb.ru,,,нет,"60.048804,30.333394"
14941,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Ленинский проспект, 168",+7(812) 642–37–54,www.obed-online.ru,,,нет,"59.852497,30.310236"
14942,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Арсенальная, 1 к2",+7 (812) 642–37–54,www.obed-online.ru,,,нет,"59.957088,30.374798"
14943,SПБ - Самый Правильный Бар,SPB - Bar,"м. Петроградская, 197101, Санкт-Петербург, Каменноостровский пр.,37",+7 (812) 655-67-12,www.barspb.ru,,,нет,"59.966439,30.311412"
14944,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Седова, 13",+7(812) 642–37–54,www.obed-online.ru,,,нет,"59.897808,30.405951"
14945,SПБ - Самый Правильный Бар,SPB - Bar,"м. Василеостровская, 199004, Санкт-Петербурге, 7-линия ВО, 42",+7 (812) 655-67-13,www.barspb.ru,,,нет,"59.941993,30.279423"
14946,SПБ - Самый Правильный Бар,SPB - Bar,"м. Адмиралтейская, 191186, Санкт-Петербург,  Невский пр., 8",+7 (812) 655-67-11,www.barspb.ru,,,нет,"59.936985,30.31488"
14947,Русские Традиции,Russkie traditsii,"Санкт-Петербург, Профессора Качалова, 9",+7(812) 642–37–54,www.obed-online.ru,,,нет,"59.911904,30.39412"
14949,SПБ - Самый Правильный Бар,SPB - Bar,"м. Достоевская, 191002, Санкт-Петербург, Владимирский пр., 15",+7 (812) 655-67-05,www.barspb.ru,,,нет,"59.929276,30.347309"
14950,SПБ - Самый Правильный Бар,SPB - Bar,"м. Садовая, 190068, Санкт-Петербург, Садовая ул., 42 а",+7 (812) 655-67-08,www.barspb.ru,,,нет,"59.925723,30.315913"
14951,SПБ - Самый Правильный Бар,SPB - Bar,"м. Технологический институт, 190005, Санкт-Петербург,  2-я Красноармейская, 9/3",+7 (812) 655-67-03,www.barspb.ru,,,нет,"59.915427,30.313506"
14952,SПБ - Самый Правильный Бар,SPB - Bar,"м. Ладожская, 195277, Санкт-Петербург, Заневский пр., 71",+7 (812) 655-67-17,www.barspb.ru,,,нет,"59.933104,30.440626"
14953,SПБ - Самый Правильный Бар,SPB - Bar,"м. Пр. Большевиков, 193318, Санкт-Петербург, Клочков пер., д. 6",+7 (812) 655-67-02,www.barspb.ru,,,нет,"59.919612,30.46179"
14954,PremieR,PremieR,"Санкт-Петербург, Большой Сампсониевский проспект, 28",+7(812) 992–02–77,тортонлайн.рф,,,нет,"59.96466,30.343294"
14955,Наша столовая,Nasha stolovaya,"Санкт-Петербург, Набережная Обводного канала, 142/16 лит А",+7–967–532–42–56,,,,нет,"59.908678,30.275938"
14956,Наша столовая,Nasha stolovaya,"Санкт-Петербург, Троицкий проспект, 5",+7–967–532–42–56,,,,нет,"59.916121,30.299267"
14957,Наша столовая,Nasha stolovaya,"Санкт-Петербург, Заставская, 28",+7–967–532–42–56,,,,нет,"59.888677,30.324438"
14958,Наша столовая,Nasha stolovaya,"Санкт-Петербург, Промышленная, 22",+7–967–532–42–56,,,,нет,"59.897587,30.265257"
14959,Толстый Фраер,Tolsty Fraer,"м. Гостиный двор, 191014, Санкт-Петербург, ул. Белинского, 13",+7 (812) 272-79-43,http://tolstiy-fraer.ru/rubric/15/,,,нет,"59.938081,30.347848"
14960,Наша столовая,Nasha stolovaya,"Санкт-Петербург, Курляндская, 11",+7–967–532–42–56,,,,нет,"59.912156,30.287499"
14961,Наша столовая,Nasha stolovaya,"Санкт-Петербург, Нарвский проспект, 13",+7–967–532–42–56,,,,нет,"59.904252,30.273692"
14962,Наша столовая,Nasha stolovaya,"Санкт-Петербург, Садовая, 95",+7–967–532–42–56,,,,нет,"59.919351,30.2905"
14963,Наша столовая,Nasha stolovaya,"Санкт-Петербург, Среднеохтинский проспект, 20",+7–967–532–42–56,,,,нет,"59.950474,30.414404"
14964,Наша столовая,Nasha stolovaya,"Санкт-Петербург, Среднеохтинский проспект, 20",+7–967–532–42–56,,,,нет,"59.950474,30.414404"
14965,Столовая № 12,Stolovaya № 12,"Санкт-Петербург, Комсомола, 37 к2",+7 (812) 542–11–90,,,,нет,"59.957111,30.358978"
14966,Две вилки,Dve vilki,"Санкт-Петербург, Ударников проспект, 20",+7–964–330–90–00,,,,нет,"59.950276,30.464872"
14967,Две вилки,Dve vilki,"Санкт-Петербург, Ленская, 16 к1",+7–964–330–90–00,,,,нет,"59.940357,30.496232"
14968,Diner,Diner,"Санкт-Петербург, Набережная реки Фонтанки, 29",+7 (812) 310–55–22,,,,нет,"59.933704,30.342638"
14969,Сытный дворик,Sytny dvorik,"Санкт-Петербург, Пушкинская, 6",+7–911–272–10–00,,,,нет,"59.930173,30.357936"
15324,Прекрасная зеленая,Prekrasnaya Zelenaya,"191028, Санкт-Петербург, ул. Моховая ул., 41",+7 (812) 273-51-18,www.labelleverte.ru,,,нет,"59.93941377903395,30.34479970087386"
15325,Троицкий мост,Troitsky most,"197046, Санкт-Петербург, Куйбышева, 33",+7 (812) 964-8967,https://www.instagram.com/tmostcafe/,,,нет,"59.95794944322,30.3341975727543"
15326,Кашмир,Kashmir,"197002, Санкт-Петербург, Большая Московская ул., 7","+7 (812) 575-63-69 
+7 (921) 864-15-74",www.cafe-kashmir.ru,,,нет,"59.92612658300991,30.34665885103777"
15344,Чайный дом,Chayny dom,"Санкт-Петербург, ул. Рубинштейна, 24",79602615433.0,https://teahouse-group.ru/mall,,,нет,"59.929669,30.344785"
15421,БРЫНЗА,,"190031, Санкт-Петербург, Гороховая ул., 39",+7 (812) 944-44-90,www.cafebrynza.ru,cafebrynza@gmail.com,,нет,"59.92924,30.32053"
15422,БРЫНЗА,,"197101, Санкт-Петербург, Каменноостровский пр. д.10",+7 (812) 944-44-90,www.cafebrynza.ru,cafebrynza@gmail.com,,нет,"59.958273,30.316982"
15423,БРЫНЗА,,"196084, Санкт-Петербург, Московский пр., 86",+7 (812) 944-44-90,www.cafebrynza.ru,cafebrynza@gmail.com,,нет,"59.9033,30.31921"
15424,БРЫНЗА,,"197136, Санкт-Петербург, Малый пр. П.С., 57",+7 (812) 944-44-90,www.cafebrynza.ru,cafebrynza@gmail.com,,нет,"59.962836,30.30136"
15425,БРЫНЗА,,"199004, Санкт-Петербург, Средний пр. В.О. д.6/13",+7 (812) 944-44-90,www.cafebrynza.ru,cafebrynza@gmail.com,,нет,"59.945684,30.28811"
15426,БРЫНЗА,,"191036, Санкт-Петербург, Лиговский пр., 21Б",+7 (812) 944-44-90,www.cafebrynza.ru,cafebrynza@gmail.com,,нет,"59.935187,30.363173"
15427,БРЫНЗА,,"194358, Санкт-Петербург, пр. Энгельса, 154",+7 (812) 944-44-90,www.cafebrynza.ru,cafebrynza@gmail.com,,нет,"60.059086,30.33502"
15430,ЖАР-ПТИЦА,,"191040, Санкт-Петербург, Лиговский пр., 89/20",+7 (981)130-88-87,www.pie-delivery.ru,,,нет,"59.923861,30.355987"
15436,СОВЕТСКОЕ КАФЕ «КВАРТИРКА»,,"191023, Санкт-Петербург, Малая Садовая ул., 1",+7 (812) 900-65-50,https://vk.com/pososedski,,,нет,"59.93529,30.337482"
15437,СОВЕТСКОЕ КАФЕ «КВАРТИРКА»,,"199004, Санкт-Петербург, 6-я линия В.О., 25",+7 (812) 900-76-60,https://vk.com/pososedski,,,нет,"59.942043,30.280268"
15438,СОВЕТСКОЕ КАФЕ «ДАЧНИКИ»,,"191186,Санкт-Петербург,  Невский пр., 20",+7 (812) 905-44-45,www.dachniki-kafe.ru,,,нет,"59.936309,30.321222"
15439,СУХУМИ,,"191119, Санкт-Петербург, ул.Разъезжая, д. 37",+7 (812)  951-24-84,,,,нет,"59.922048,30.351271"
15466,ПЛЮШКИН ДОМ,,"199155, Санкт-Петербург, ул. Железноводская, д. 25",+7 (812) 350-50-15,www.plushkin-dom.ru,,,нет,"59.9512,30.24076"
15467,ПЛЮШКИН ДОМ,,"199178, Санкт-Петербург,  6-ая линия В.О. д. 27 лит.А",+7 (812) 350-50-15,www.plushkin-dom.ru,,,нет,"59.942376,30.279927"
15468,ПЛЮШКИН ДОМ,,"190031, Санкт-Петербург, ул. Казанская, д. 29",+7 (812) 570-14-96,www.plushkin-dom.ru,,,нет,"59.929732,30.313631"
15469,ПЛЮШКИН ДОМ,,"197101, Санкт-Петербург,  Каменноостровский пр., д. 26-28",+7 (812) 346-02-29,www.plushkin-dom.ru,,,нет,"59.962845,30.313901"
15470,ПЛЮШКИН ДОМ,,"190068,Санкт-Петербург,  ул. Садовая д. 42",+7 (921) 409-26-33,www.plushkin-dom.ru,,,нет,"59.925723,30.315913"
15471,ПЛЮШКИН ДОМ,,"190068, Санкт-Петербург, ул. Садовая д. 55",+7 (921) 409-25-33,www.plushkin-dom.ru,,,нет,"59.923261,30.30878"
15472,ПИРОГОВЫЙ ДВОРИК,,"197082, Санкт-Петербург, Богатырский пр., д. 49, к. 2",+7 (812) 676-20-63; +7 (911) 752-15-25,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"60.006615,30.222407"
15473,ПИРОГОВЫЙ ДВОРИК,,"197350, Санкт-Петербург, Комендантский пр., 31/1",+7 (812) 383-52-60; +7 (911) 751-54-62,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"60.020489,30.245925"
15474,ПИРОГОВЫЙ ДВОРИК,,"197198, Санкт-Петербург, Малый проспект П.С., д.1""б""",+7 (812) 405-81-20,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.953619,30.290419"
15475,ПИРОГОВЫЙ ДВОРИК,,"191002, Санкт-Петербург, ул. Разъезжая, д. 6",+7 (812) 383-58-15,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.925565,30.344309"
15476,ПИРОГОВЫЙ ДВОРИК,,"198261,Санкт-Петербург, пр. Ветеранов, д.108/1",+7 (812) 383-58-17; +7 (911) 751-34-52,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.832756,30.206175"
15477,ПИРОГОВЫЙ ДВОРИК,,"195267, Санкт-Петербург,  Гражданский пр., 116/5,",+7 (812) 290-94-08,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"60.034627,30.417108"
15478,ПИРОГОВЫЙ ДВОРИК,,"194021, Санкт-Петербург, Политехническая ул., 31,",+7 (812) 297-49-52,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"60.009606,30.369893"
15479,ПИРОГОВЫЙ ДВОРИК,,"194044, Санкт-Петербург, ул. Боткинская д.15 к.1",+7 (812) 294-60-94,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.958913,30.350193"
15480,ПИРОГОВЫЙ ДВОРИК,,"190020,Санкт-Петербург,  Старо-Петергофский пр-т, д. 43/45","+7 (812) 252-01-06, +7 (911) 752-24-95",http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.902131,30.274959"
15481,ПИРОГОВЫЙ ДВОРИК,,"194100,Санкт-Петербург,  ул. Кантемировская, д. 24",+7 (812) 596-39-11,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.985521,30.344506"
15482,ПИРОГОВЫЙ ДВОРИК,,"193231, Санкт-Петербург, ул. Коллонтай, 24 к.2,",+7 (812) 383-50-02,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.921741,30.475589"
15483,ПИРОГОВЫЙ ДВОРИК,,"196158, Санкт-Петербург, ул. Ленсовета, 88",+7 (812) 333-43-91,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.832683,30.350561"
15484,ПИРОГОВЫЙ ДВОРИК,,"197348, Санкт-Петербург, Коломяжский пр., 15 к.1",+7 (812) 383-76-12,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"60.000425,30.299878"
15485,ПИРОГОВЫЙ ДВОРИК,,"197183,  Санкт-Петербург, ул. Савушкина, 1",+7 (812) 676-20-68,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.986817,30.300606"
15486,ПИРОГОВЫЙ ДВОРИК,,"196084, Санкт-Петербург, ул. Барклаевская, д. 5",+7 (812) 676-93-59,http://pirogov-dvorik.ru/,info@pirogov-dvorik.ru,,нет,"59.893976,30.333188"
15487,ПИРОГОВЫЙ ДВОРИК,,"Санкт-Петербург, 194354, пр. Художников, 10",+7 (812) 296-46-53,http://pirogov-dvorik.ru,info@pirogov-dvorik.ru,,нет,"60.036407,30.343123"
15488,ПИРОГОВЫЙ ДВОРИК,,"192283, Санкт-Петербург, Купчинская ул., 34, корп. 1",+7 (812) 452-97-74,http://pirogov-dvorik.ru,info@pirogov-dvorik.ru,,нет,"59.827339,30.398473"
15489,ПИРОГОВЫЙ ДВОРИК,,"190031, Санкт-Петербург, ул. Ефимова, 3,",+7 (812) 680-16-20,http://pirogov-dvorik.ru,info@pirogov-dvorik.ru,,нет,"59.925899,30.319857"
15718,Бодрый Нут,Bodriy Nut,"7-я лин. В.О., 40, Санкт-Петербург, 199178",+7 (911) 759-80-31,https://vk.com/bodriynut,,,нет,"59.94185351412047,30.27951136716544"
15723,Pandabanda,Pandabanda,"ТОЦ Андреевский двор,
Санкт-Петербург, Большой проспект В.О., 18","8 (812) 926-54-65
8(911) 724-57-37",http://pandabanda.business.site/ https://vk.com/pandabandagameclub,,,нет,"59.939063,30.28422"
15724,"Арт-кафе ""Республика Котов""",,"Санкт-Петербург, Литейный пр., д.60",+7 (812) 906-53-43,http://www.catsrepublic.ru/,,,нет,"59.933785,30.34845"
15725,"Арт-кафе ""Западная Африка""",,"наб. Фонтанки, 130",(812) 713-0777,http://art-afrika.ru/,,,нет,"59.917935,30.304226"
15726,"Арт-кафе ""Восточная Африка""",,"ул. Печатника Григорьева, 13",(812) 315-4250,http://www.art-afrika.ru/,9225872@gmail.com,,нет,"59.918674,30.348603"
15727,Кафе Zoom,,"ул Гороховая, 22",8 (812) 612-13-29,http://www.cafezoom.ru/,info@cafezoom.ru,,нет,"59.931098,30.318419"
15728,Книжная Лавка Писателей. Литературное кафе.,,"Невский пр., 66",,https://lavkapisateley.spb.ru/,,,нет,"59.933705,30.341959"
15731,O'HOOLIGANS,O'HOOLIGANS,"м. Гостиный Двор, 191011,  Санкт-Петербург, Садовая ул., 13",+7 (812) 964-13-00,www.ohooligans.ru,admin@ohooligans.ru,,нет,"59.934898,30.335074"
15732,SПБ - Самый Правильный Бар,SPB-Bar,"м. Купчино, 192286, Санкт-Петербург, ул. Гашека, 5",+7 (812) 655-67-04,www.barspb.ru,,,нет,"59.830676,30.385065"
15734,SПБ - Самый Правильный Бар,SPB-Bar,"м. Ленинский проспект, Санкт-Петербург, ул. Народного Ополчения, 10",+7 (812) 655-67-14,www.barspb.ru,,,нет,"59.850156,30.282154"
15735,SПБ - Самый Правильный Бар,SPB-Bar,"м. Ломоносовская, 192171, Санкт-Петербург, ул. Бабушкина, 38",+7 (812) 655-67-15,www.barspb.ru,,,нет,"59.878401,30.441722"
15736,SПБ - Самый Правильный Бар,SPB - Bar,"Колпино, ул. Пролетарская, 36, ТРК ""Меркурий""",+7 (812) 655-67-18,www.barspb.ru,,,нет,"59.740588,30.58406"
15737,Рестопаб Mollie's (Молли Мэлоун),Restopub Mollie's (Restopub Mollie's),"м. Пр. Просвящения, 194356, Санкт-Петербург,  пр. Энгельса, 133 к. 1Б",+7 (812) 296-02-29,http://molly.su/malone/,,,нет,"60.049698,30.333879"
15738,Рестопаб Mollie's (Моллис Мьюз),Restopub Mollie's (Mollie`s Mews),"м. Невский пр.,  191186, Санкт-Петербург, ул. Б. Конюшенная, 5",+7 (812) 571-51-71,http://molly.su/mews/,,,нет,"59.940294,30.323863"
15739,Рестопабы Mollie's (Офис Паб),Restopub Mollie's (The Office Pub),"м. Невский пр., 191186, Санкт-Петербург, ул. Казанская, 5",+7 (812) 571-54-28,http://molly.su/,,,нет,"59.933429,30.321869"
15740,Рестопаб Mollie's (Бристоль),Restopub Mollie's (Bristol Pub),"м. Владимирская, 191040, Санкт-Петербург, ул. Марата, 36-38",+7 (812) 332-32-55,http://molly.su/bristol/,,,нет,"59.925705,30.352519"
15741,Рестопабы Mollie's (Молли Салливан),Restopub Mollie's (Molly Sullivan),"м. Петроградская, 197198, Санкт-Петербург, Большой пр. П.С., 35",+7 (812) 677-18-76,http://molly.su/sullivan/,,,нет,"59.959287,30.301971"
15742,Рестопаб Mollie's (Молли О Брайан),Restopub Mollie's (Molly O`Brian),"м. Пр. Ветеранов, 198332, Санкт-Петербург,  Ленинский пр., 87, корп. 1",+7 (812) 364-35-99,http://molly.su/obrian/,,,нет,"59.855267,30.204208"
15743,Рестопабы Mollie's (Молли Шелтер),Restopub Mollie's (Molly Shelter),"м. Гостиный Двор, 191023, Санкт-Петербург, ул. Итальянская, 29",+7 (812) 315-47-54,http://molly.su/shelter/,,,нет,"59.935547,30.339251"
15744,Рестопабы Mollie's (Молли),Restopub Mollie's (Molly),"м. Комендантский пр., 197227, Санкт-Петербург, Комендантский пр., 11",+7 (812) 600-12-10,http://molly.su/molly/,,,нет,"60.006507,30.262293"
15745,Рестопаб Mollie's (Молли Айленд),Restopub Mollie's (Molly Island),"м. Приморская, 199226, Санкт-Петербург, Морская наб., 15",+7 (812) 414-999-6,http://molly.su/island/,,,нет,"59.940055,30.212849"
15746,Рестопабы Mollie's (Моллис),Restopub Mollie's (Mollie`s Pub),"м. Достоевская, 191002, Санкт-Петербург, ул. Рубинштейна, 36",+7 (812) 570-37-68,http://molly.su/mollies/,,,нет,"59.927644,30.343581"
15747,Рестопабы Mollie's (Холи Молли),Restopub Mollie's (Holy Molly),"м. Международная, 192241, Санкт-Петербург, пр. Славы, 40",+7 (812) 361-60-97,http://molly.su/holy/,,,нет,"59.861376,30.398837"
15748,Рестопабы Mollie's (Фиш энд Чипс),Restopub Mollie's (Fish&Chips),"м. Приморская, 199397, Санкт-Петербург, Новосмоленская наб. д.1","+7 (812) 984-71-72
+7 (962) 684-71-72",http://molly.su/fishchips/,,,нет,"59.949145,30.230878"
15749,Рестопабы Mollie's (Фиш энд Чипс Восстания),"ул. Марата, 36-38 (Fish&Chips Vosstaniya)","м. Чернышевская, 191014, Санкт-Петербург, ул. Восстания, 34",+7 (812) 719-87-42,http://molly.su/fishchips2/,,,нет,"59.925705,30.352519"
15751,Gosti Lounge- пространство,Gosti,"Метро Гостиный двор, Садовая, 7, вход со двора. (отдельная кнопка домофона).",+7 981 738 53 81.,http://gosti.club/ https://vk.com/gosti_lounge,,,нет,"59.935651,30.335451"
15752,Tommy Gun антикафе и кальянная,Tommy Gun anticafe & hookah bar,ул. Пестеля 27,8 (911) 918-25-95,https://vk.com/tommylounge,,,нет,"59.9427193,30.349492"
15753,"Тайм-кафе ""Mañana""",Mañana time-cafe,"Ст. М. Чкаловская, ул. Лахтинская, 25А.",923-03-77,https://vk.com/manjana,,,нет,"59.964192,30.297471"
15754,Антикафе Каледонский лес (на Чкаловской),,"ул. Петрозаводская, 3Б. (Нужно зайти во двор дома 3 и повернуть направо - вы увидите желтый домик с двускатной крышей. Это мы:)","+7(921)335-60-10 (Полина)
+7(931)312-68-79 (Толик)
+7(911)820-47-90 (Виверна)",https://vk.com/klles,,,нет,"59.928023,30.316551"
15755,Антикафе Каледонский Лес (на Садовой),,"пер. Гривцова, 22 (вход со двора, код на воротах 22222 или кнопка ""Каледонский лес"")",+7(921)335-60-10 (Полина),https://vk.com/klles,,,нет,"59.928023,30.316551"
15756,The GomerZone,The GomerZone,Ул.Дыбенко 13к1,8(965)0351166,http://gomerzone.ru/  vk.com/gomerzone,,,нет,"59.901008,30.46418"
15757,Антикафе Smoke Time (м. Ленинский пр.),,Брестский бульвар д.8,+7(911)777-31-00,https://vk.com/smoketime_cafe,,,нет,"59.856036,30.199581"
15758,Антикафе SmokeTime (м. Ладожская),,"Улица Осипенко 2 (дверь слева от входа Сбербанка, 3 этаж)",+7(911)965-40-20,https://vk.com/smoketime.ladozhskaya,,,нет,"59.94568,30.483512"
15759,"Антикафе ""Цоколь""",,"ул. Кантемировская ул., д. 27",910-23-59,https://vk.com/tsokolhookah,,,нет,"59.985125,30.346608"
15760,Gotham Lighthouse (анти-кальянная),,"Банковский переулок, д.3Б",+7(931)970-10-90,https://vk.com/gothamspb,,,нет,"59.930828,30.323417"
15761,Soulmate — тайм-кафе + котики,,"Набережная Фонтанки, 51-53",+7 965-079-0580,https://vk.com/soulmatespb,"soulmatespb@gmail.com, https://www.soulmatespb.com/",,нет,"59.9297,30.337392"
15788,КОНТАКТ БАР,CONTACT BAR,"м. Международная, 192238, Санкт-Петербург, ул. Бухарестская, д. 74",+7 (812) 998-74-99,http://kontaktbar.ru/,,,нет,"59.870867,30.381688"
15789,КОНТАКТ БАР,CONTACT BAR,"м. Василеостровская, 199004, Средний пр-т. ВО, д. 28, 2-й этаж",+7(812) 966-77-19,http://kontaktbar.ru,,,нет,"59.943129,30.279325"
15790,КОНТАКТ БАР,CONTACT BAR,"м. Чернышевская, 191123, Санкт-Петербург, пр. Чернышевского, 11/57",+7(812) 945-32-13,http://kontaktbar.ru,,,нет,"59.946058,30.35887"
15791,КОНТАКТ БАР,CONTACT BAR,"м. Пр. Просвещения, 194356, Санкт-Петербург, пр. Просвещения, д. 25, ТК ""Бубен"", 2-й этаж",+7812) 998-74-97,http://kontaktbar.ru,,,нет,"60.051329,30.339036"
15792,КОНТАКТ БАР,CONTACT BAR,"м. Сенная, 190031, Санкт-Петербург, ул. Садовая, д. 35, 2-й этаж",+7(812) 998-55-73,http://kontaktbar.ru,,,нет,"59.927991,30.320225"
15793,КОНТАКТ БАР,CONTACT BAR,"м. Маяковская, 191025, Санкт-Петербург, ул. Марата, д. 7, ТЦ «Олимпик-Плаза»",+7(812) 951-83-94,http://kontaktbar.ru,,,нет,"59.677117,30.681204"
15794,КОНТАКТ БАР,CONTACT BAR,"м. Комендантский пр., 197372, Санкт-Петербург, ул. Гаккелевская, д. 34, ТЦ ""Лидер"", 2-й этаж",+7(812) 950-82-29,http://kontaktbar.ru,,,нет,"60.006597,30.257666"
15795,КОНТАКТ БАР,CONTACT BAR,"м. Нарвская, 198095, Санкт-Петербург, пр. Стачек, д. 7, лит. A, Галерея 1814",+7(812) 950-82-90,http://kontaktbar.ru,,,нет,"59.896815,30.274294"
